Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
779,Stephen Curry,16,2017-11-06,29-237,GSW,,MIA,W 97-80,*,34,5,19,0.263,3,10,0.3,2,9,0.222,4,5,0.8,0.377,0,5,5,4,2,0,1,3,16,8.4,-1.2,25,G,curryst01
780,Stephen Curry,16,2019-02-25,30-348,GSW,@,CHO,W 121-110,*,35,5,18,0.278,1,4,0.25,4,14,0.286,2,3,0.667,0.414,0,5,5,6,4,0,4,1,16,10.3,-3.0,-4,G,curryst01
781,Stephen Curry,16,2021-01-27,32-319,GSW,,MIN,W 123-111,*,33,6,17,0.353,2,6,0.333,4,11,0.364,0,0,,0.471,0,6,6,8,0,0,2,2,16,11.1,-3.5,28,G,curryst01
782,Stephen Curry,16,2021-02-28,32-351,GSW,@,LAL,L 91-117,*,26,5,13,0.385,3,6,0.5,2,7,0.286,4,5,0.8,0.526,0,4,4,7,3,0,3,2,16,13.8,8.3,-24,G,curryst01
783,Stephen Curry,16,2022-02-09,33-332,GSW,@,UTA,L 85-111,*,30,5,13,0.385,2,5,0.4,3,8,0.375,3,4,0.75,0.542,1,6,7,2,0,0,4,2,16,7.6,-5.4,-14,G,curryst01
784,Stephen Curry,16,2022-11-14,34-245,GSW,,SAS,W 132-95,*,27,5,11,0.455,2,4,0.5,3,7,0.429,3,3,1.0,0.649,1,4,5,5,1,0,1,1,16,15.3,3.6,17,G,curryst01
785,Stephen Curry,16,2023-03-18,35-004,GSW,@,MEM,L 119-133,*,30,5,15,0.333,2,7,0.286,3,8,0.375,3,4,0.75,0.477,1,7,8,5,0,0,1,1,16,12.0,-0.9,-10,G,curryst01
786,Stephen Curry,16,2023-11-22,35-253,GSW,@,PHO,L 115-123,*,28,6,15,0.4,5,7,0.714,1,8,0.125,3,3,1.0,0.49,0,3,3,6,0,0,2,2,16,10.2,-2.7,-17,G,curryst01
787,Stephen Curry,16,2024-02-15,35-338,GSW,@,UTA,W 140-137,*,35,4,14,0.286,2,6,0.333,2,8,0.25,6,8,0.75,0.457,1,1,2,10,1,0,4,2,16,11.2,-10.4,-2,G,curryst01
788,Stephen Curry,15,2009-12-29,21-290,GSW,@,LAL,L 118-124,*,23,6,10,0.6,6,9,0.667,0,1,0.0,3,3,1.0,0.663,1,2,3,3,0,0,4,3,15,8.6,-8.6,-7,G,curryst01
