Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.,Player-additional
846,Stephen Curry,14,2024-11-23,36-254,GSW,@,SAS,L 94-104,*,32,5,16,0.313,2,6,0.333,3,10,0.3,1,1,1.0,0.426,2,5,7,5,0,0,3,1,14,7.8,-3.3,4,G,curryst01
847,Stephen Curry,13,2009-11-18,21-249,GSW,@,BOS,L 95-109,*,35,4,10,0.4,3,6,0.5,1,4,0.25,4,4,1.0,0.553,0,0,0,7,4,0,6,3,13,9.3,-0.4,5,G,curryst01
848,Stephen Curry,13,2009-11-28,21-259,GSW,,LAL,L 97-130,*,36,5,15,0.333,4,10,0.4,1,5,0.2,2,2,1.0,0.409,1,3,4,8,0,0,1,0,13,10.7,-2.2,-23,G,curryst01
849,Stephen Curry,13,2009-12-05,21-266,GSW,,ORL,L 118-126,*,46,6,12,0.5,6,10,0.6,0,2,0.0,1,1,1.0,0.523,0,3,3,3,1,0,3,4,13,6.4,-7.7,-8,G,curryst01
850,Stephen Curry,13,2009-12-26,21-287,GSW,,PHO,W 132-127,*,27,4,10,0.4,1,6,0.167,3,4,0.75,2,2,1.0,0.597,1,2,3,4,3,0,1,4,13,12.1,4.6,6,G,curryst01
851,Stephen Curry,13,2010-02-19,21-342,GSW,,UTA,L 89-100,*,39,4,9,0.444,1,3,0.333,3,6,0.5,2,2,1.0,0.658,1,5,6,7,3,0,10,1,13,8.0,-2.1,0,G,curryst01
852,Stephen Curry,13,2010-11-21,22-252,GSW,@,LAL,L 89-117,*,24,5,10,0.5,4,7,0.571,1,3,0.333,2,2,1.0,0.597,0,3,3,2,1,2,0,3,13,11.5,8.6,-26,G,curryst01
853,Stephen Curry,13,2011-01-17,22-309,GSW,,NJN,W 109-100,*,23,4,10,0.4,2,5,0.4,2,5,0.4,3,4,0.75,0.553,0,2,2,6,0,1,2,4,13,9.1,-0.2,11,G,curryst01
854,Stephen Curry,13,2011-02-09,22-332,GSW,,DEN,W 116-114,*,29,5,9,0.556,4,6,0.667,1,3,0.333,2,2,1.0,0.658,0,1,1,2,0,0,3,4,13,5.8,-10.5,-2,G,curryst01
855,Stephen Curry,13,2012-12-18,24-279,GSW,,NOH,W 103-96,*,39,5,13,0.385,4,10,0.4,1,3,0.333,2,2,1.0,0.468,2,3,5,3,0,0,2,2,13,7.5,-7.4,3,G,curryst01
856,Stephen Curry,13,2013-03-06,24-357,GSW,,SAC,W 87-83,*,34,3,11,0.273,1,6,0.167,2,5,0.4,5,5,1.0,0.492,1,4,5,8,2,0,6,4,13,8.4,-1.2,-2,G,curryst01
857,Stephen Curry,13,2014-02-19,25-342,GSW,@,SAC,W 101-92,*,36,5,14,0.357,4,10,0.4,1,4,0.25,2,3,0.667,0.424,0,1,1,8,1,0,0,2,13,10.9,-1.4,12,G,curryst01
858,Stephen Curry,13,2014-03-07,25-358,GSW,,ATL,W 111-97,*,30,5,10,0.5,4,6,0.667,1,4,0.25,2,2,1.0,0.597,0,3,3,7,1,0,0,1,13,14.4,3.9,10,G,curryst01
859,Stephen Curry,13,2014-03-12,25-363,GSW,@,LAC,L 98-111,*,29,5,11,0.455,3,6,0.5,2,5,0.4,1,1,1.0,0.568,1,4,5,11,1,0,4,3,13,12.7,4.2,2,G,curryst01
860,Stephen Curry,13,2014-04-04,26-021,GSW,,SAC,W 102-69,*,29,5,12,0.417,3,7,0.429,2,5,0.4,1,1,1.0,0.523,1,1,2,5,1,0,1,2,13,10.3,4.6,28,G,curryst01
861,Stephen Curry,13,2014-12-30,26-291,GSW,,PHI,W 126-86,*,27,4,7,0.571,1,1,1.0,3,6,0.5,2,2,1.0,0.825,0,3,3,9,3,0,3,3,13,15.7,7.4,28,G,curryst01
862,Stephen Curry,13,2016-01-31,27-323,GSW,@,NYK,W 116-95,*,32,5,17,0.294,2,6,0.333,3,11,0.273,0,0,,0.382,0,4,4,4,3,0,3,1,13,6.7,-7.9,10,G,curryst01
863,Stephen Curry,13,2016-11-04,28-235,GSW,@,LAL,L 97-117,*,31,5,17,0.294,5,7,0.714,0,10,0.0,3,3,1.0,0.355,0,8,8,10,2,1,2,3,13,12.0,0.5,-5,G,curryst01
864,Stephen Curry,13,2016-12-05,28-266,GSW,,IND,W 142-106,*,29,4,10,0.4,2,3,0.667,2,7,0.286,3,4,0.75,0.553,0,4,4,11,2,1,0,4,13,17.2,6.8,24,G,curryst01
865,Stephen Curry,13,2017-02-08,28-331,GSW,,CHI,W 123-92,*,28,5,11,0.455,4,7,0.571,1,4,0.25,2,2,1.0,0.547,0,1,1,6,1,0,2,4,13,9.2,-5.3,20,G,curryst01
866,Stephen Curry,13,2017-02-15,28-338,GSW,,SAC,W 109-86,*,30,4,14,0.286,2,6,0.333,2,8,0.25,3,4,0.75,0.412,0,6,6,9,0,2,3,2,13,10.1,-3.1,23,G,curryst01
867,Stephen Curry,13,2021-01-06,32-298,GSW,,LAC,L 101-108,*,35,5,17,0.294,4,11,0.364,1,6,0.167,2,4,0.5,0.346,1,3,4,5,1,0,0,3,13,7.2,-4.7,-10,G,curryst01
868,Stephen Curry,13,2022-01-23,33-315,GSW,,UTA,W 94-92,*,35,5,20,0.25,4,7,0.571,1,13,0.077,2,2,1.0,0.311,2,2,4,6,0,0,1,0,13,6.2,-7.7,-5,G,curryst01
869,Stephen Curry,13,2023-12-28,35-289,GSW,,MIA,L 102-114,*,32,3,15,0.2,1,7,0.143,2,8,0.25,5,6,0.833,0.368,0,4,4,5,2,1,1,1,13,9.3,-0.6,-14,G,curryst01
870,Stephen Curry,13,2024-04-02,36-019,GSW,,DAL,W 104-100,*,32,5,18,0.278,2,13,0.154,3,5,0.6,0,0,,0.361,0,7,7,7,1,2,4,1,13,7.4,-2.0,-4,G,curryst01
871,Stephen Curry,13,2024-11-15,36-246,GSW,,MEM,W 123-118,*,26,4,9,0.444,1,2,0.5,3,7,0.429,2,2,1.0,0.658,1,7,8,5,4,0,3,2,13,14.8,8.6,9,G,curryst01
872,Stephen Curry,12,2009-10-30,21-230,GSW,@,PHO,L 101-123,*,39,5,9,0.556,3,6,0.5,2,3,0.667,0,0,,0.667,0,2,2,4,1,0,3,5,12,7.1,-2.5,-19,G,curryst01
873,Stephen Curry,12,2009-11-20,21-251,GSW,,POR,W 108-94,*,46,3,9,0.333,1,6,0.167,2,3,0.667,4,5,0.8,0.536,0,6,6,8,1,1,1,6,12,12.2,0.6,18,G,curryst01
874,Stephen Curry,12,2010-01-08,21-300,GSW,,SAC,W 108-101,*,34,5,10,0.5,4,8,0.5,1,2,0.5,1,2,0.5,0.551,0,3,3,4,1,0,2,3,12,8.1,-4.5,5,G,curryst01
875,Stephen Curry,12,2010-03-08,21-359,GSW,@,NOH,L 131-135,*,34,5,13,0.385,3,9,0.333,2,4,0.5,0,0,,0.462,0,3,3,6,1,0,4,2,12,6.2,-11.1,-14,G,curryst01
876,Stephen Curry,12,2011-02-10,22-333,GSW,@,PHO,L 88-112,*,25,5,9,0.556,3,6,0.5,2,3,0.667,0,0,,0.667,0,2,2,2,1,0,4,0,12,6.7,-3.7,-26,G,curryst01
877,Stephen Curry,12,2011-04-02,23-019,GSW,,DAL,W 99-92,*,32,3,8,0.375,2,5,0.4,1,3,0.333,5,5,1.0,0.588,0,4,4,8,2,0,3,5,12,11.4,3.2,9,G,curryst01
878,Stephen Curry,12,2012-01-20,23-312,GSW,,IND,L 91-94,*,29,5,15,0.333,3,9,0.333,2,6,0.333,0,0,,0.4,1,1,2,3,0,0,3,2,12,2.8,-7.6,-4,G,curryst01
879,Stephen Curry,12,2012-03-05,23-357,GSW,@,WAS,W 120-100,,9,5,7,0.714,3,4,0.75,2,3,0.667,0,0,,0.857,0,1,1,1,1,0,0,1,12,10.7,27.0,10,G,curryst01
880,Stephen Curry,12,2012-11-05,24-236,GSW,@,SAC,L 92-94,*,39,3,15,0.2,1,9,0.111,2,6,0.333,4,5,0.8,0.349,1,5,6,8,1,0,3,2,12,7.3,-4.1,0,G,curryst01
881,Stephen Curry,12,2012-11-14,24-245,GSW,,ATL,W 92-88,*,33,4,12,0.333,4,7,0.571,0,5,0.0,4,4,1.0,0.436,0,1,1,7,3,0,4,3,12,8.2,-0.9,1,G,curryst01
882,Stephen Curry,12,2014-12-22,26-283,GSW,,SAC,W 128-108,*,26,5,12,0.417,4,7,0.571,1,5,0.2,1,1,1.0,0.482,0,2,2,11,3,0,1,1,12,15.5,7.8,15,G,curryst01
883,Stephen Curry,12,2015-03-08,26-359,GSW,,LAC,W 106-98,*,32,3,9,0.333,1,7,0.143,2,2,1.0,4,4,1.0,0.558,0,1,1,4,3,0,4,1,12,8.6,-1.6,15,G,curryst01
884,Stephen Curry,12,2016-03-09,27-361,GSW,,UTA,W 115-94,*,32,4,12,0.333,1,3,0.333,3,9,0.333,1,2,0.5,0.466,0,3,3,10,3,0,3,2,12,11.9,2.5,12,G,curryst01
885,Stephen Curry,12,2021-11-21,33-252,GSW,,TOR,W 119-104,*,37,2,10,0.2,1,4,0.25,1,6,0.167,7,7,1.0,0.459,0,2,2,8,1,0,4,1,12,8.6,-7.2,19,G,curryst01
886,Stephen Curry,12,2021-11-30,33-261,GSW,@,PHO,L 96-104,*,36,4,21,0.19,1,7,0.143,3,14,0.214,1,1,1.0,0.28,1,2,3,2,1,1,2,0,12,1.3,-9.0,-17,G,curryst01
887,Stephen Curry,12,2022-01-13,33-305,GSW,@,MIL,L 99-118,*,29,4,11,0.364,2,5,0.4,2,6,0.333,2,2,1.0,0.505,0,8,8,4,2,0,4,0,12,9.1,-1.2,-25,G,curryst01
888,Stephen Curry,12,2022-12-05,34-266,GSW,,IND,L 104-112,*,38,3,17,0.176,1,7,0.143,2,10,0.2,4,4,1.0,0.32,0,4,4,6,1,0,3,2,12,3.9,-10.9,-17,G,curryst01
889,Stephen Curry,12,2024-11-08,36-239,GSW,@,CLE,L 117-136,*,24,5,10,0.5,4,6,0.667,1,4,0.25,1,1,1.0,0.575,0,1,1,2,2,0,6,0,12,4.7,-10.3,-25,G,curryst01
890,Stephen Curry,11,2009-11-25,21-256,GSW,@,SAS,L 104-118,*,34,5,16,0.313,4,12,0.333,1,4,0.25,0,0,,0.344,1,6,7,5,1,2,6,3,11,3.0,-8.8,-7,G,curryst01
891,Stephen Curry,11,2009-12-03,21-264,GSW,,HOU,L 109-111,*,32,4,8,0.5,3,5,0.6,1,3,0.333,2,2,1.0,0.619,1,4,5,2,2,1,4,3,11,7.8,-4.2,-3,G,curryst01
892,Stephen Curry,11,2010-02-16,21-339,GSW,@,LAL,L 94-104,*,44,5,21,0.238,4,11,0.364,1,10,0.1,0,0,,0.262,0,10,10,8,1,0,4,5,11,1.9,-10.5,-4,G,curryst01
893,Stephen Curry,11,2011-01-19,22-311,GSW,,IND,W 110-108,*,33,4,10,0.4,4,7,0.571,0,3,0.0,3,3,1.0,0.486,0,4,4,8,2,0,1,1,11,13.0,1.6,17,G,curryst01
894,Stephen Curry,11,2011-03-20,23-006,GSW,@,DAL,L 73-101,*,31,4,12,0.333,3,9,0.333,1,3,0.333,2,3,0.667,0.413,1,5,6,6,0,0,2,4,11,6.6,-2.7,-8,G,curryst01
895,Stephen Curry,11,2012-02-04,23-327,GSW,@,SAC,L 106-114 (OT),*,29,4,14,0.286,1,6,0.167,3,8,0.375,0,0,,0.393,2,0,2,9,4,0,5,1,11,9.1,0.6,-11,G,curryst01
896,Stephen Curry,11,2012-02-17,23-340,GSW,@,OKC,L 87-110,*,28,4,13,0.308,1,8,0.125,3,5,0.6,0,0,,0.423,1,1,2,4,0,0,4,2,11,2.5,-7.8,-12,G,curryst01
897,Stephen Curry,11,2012-02-20,23-343,GSW,,LAC,W 104-97,*,33,3,6,0.5,0,1,0.0,3,5,0.6,2,2,1.0,0.799,0,3,3,6,0,1,3,3,11,9.6,1.2,16,G,curryst01
898,Stephen Curry,11,2012-12-28,24-289,GSW,,PHI,W 96-89,*,39,5,11,0.455,4,7,0.571,1,4,0.25,0,0,,0.5,0,5,5,6,1,0,4,3,11,6.8,-3.8,7,G,curryst01
899,Stephen Curry,11,2014-04-02,26-019,GSW,@,SAS,L 90-111,*,31,5,15,0.333,4,11,0.364,1,4,0.25,0,0,,0.367,0,0,0,10,1,0,4,2,11,5.7,-4.8,-19,G,curryst01
900,Stephen Curry,11,2015-04-04,27-021,GSW,@,DAL,W 123-110,*,27,4,12,0.333,3,8,0.375,1,4,0.25,2,3,0.667,0.413,2,2,4,3,1,0,1,1,11,7.5,-3.2,11,G,curryst01
901,Stephen Curry,11,2017-02-13,28-336,GSW,@,DEN,L 110-132,*,27,4,18,0.222,3,7,0.429,1,11,0.091,2,2,1.0,0.291,1,1,2,5,1,0,1,1,11,4.1,-13.9,-24,G,curryst01
902,Stephen Curry,11,2019-01-21,30-313,GSW,@,LAL,W 130-111,*,30,3,12,0.25,1,2,0.5,2,10,0.2,3,3,1.0,0.413,1,4,5,12,1,0,0,3,11,13.9,1.8,27,G,curryst01
903,Stephen Curry,11,2021-01-10,32-302,GSW,,TOR,W 106-105,*,38,2,16,0.125,1,6,0.167,1,10,0.1,6,6,1.0,0.295,3,6,9,6,0,0,5,3,11,2.5,-13.1,7,G,curryst01
904,Stephen Curry,10,2009-12-01,21-262,GSW,@,DEN,L 107-135,*,41,4,14,0.286,2,8,0.25,2,6,0.333,0,0,,0.357,1,3,4,6,2,2,1,2,10,9.2,-1.7,-14,G,curryst01
905,Stephen Curry,10,2010-11-07,22-238,GSW,@,DET,L 97-102,*,29,3,12,0.25,3,9,0.333,0,3,0.0,4,4,1.0,0.363,1,3,4,6,2,0,2,4,10,7.0,-3.2,-3,G,curryst01
906,Stephen Curry,10,2011-03-16,23-002,GSW,,DAL,L 106-112,*,32,4,10,0.4,2,6,0.333,2,4,0.5,0,1,0.0,0.479,0,0,0,5,1,0,3,2,10,4.9,-7.5,-10,G,curryst01
907,Stephen Curry,10,2011-03-27,23-013,GSW,,WAS,W 114-104,*,28,3,11,0.273,2,7,0.286,1,4,0.25,3,3,1.0,0.406,1,4,5,4,1,1,5,5,10,2.9,-12.4,11,G,curryst01
908,Stephen Curry,10,2012-01-02,23-294,GSW,@,PHO,L 91-102,*,23,4,8,0.5,2,5,0.4,2,3,0.667,0,0,,0.625,0,2,2,2,1,0,2,5,10,5.0,-4.7,-3,G,curryst01
909,Stephen Curry,10,2012-03-10,23-362,GSW,,DAL,W 111-87,*,16,4,7,0.571,2,3,0.667,2,4,0.5,0,0,,0.714,0,2,2,2,1,0,3,0,10,6.7,0.9,10,G,curryst01
910,Stephen Curry,10,2013-01-05,24-297,GSW,@,LAC,L 89-115,*,29,4,11,0.364,3,6,0.5,1,5,0.2,1,1,1.0,0.437,0,0,0,5,0,0,2,0,10,5.4,-6.8,-31,G,curryst01
911,Stephen Curry,10,2013-10-30,25-230,GSW,,LAL,W 125-94,*,24,4,10,0.4,2,5,0.4,2,5,0.4,0,0,,0.5,0,4,4,6,1,0,1,4,10,8.4,-3.3,28,G,curryst01
912,Stephen Curry,10,2014-03-11,25-362,GSW,,DAL,W 108-85,*,22,4,12,0.333,3,7,0.429,1,5,0.2,1,1,1.0,0.402,0,2,2,4,3,0,3,1,10,6.2,-0.8,-3,G,curryst01
913,Stephen Curry,10,2015-01-23,26-315,GSW,,SAC,W 126-101,*,29,3,11,0.273,1,4,0.25,2,7,0.286,2,2,1.0,0.421,1,3,4,11,2,0,6,0,10,8.8,-3.5,20,G,curryst01
914,Stephen Curry,10,2015-04-15,27-032,GSW,,DEN,W 133-126,*,19,4,10,0.4,2,6,0.333,2,4,0.5,0,0,,0.5,2,2,4,7,5,0,2,1,10,14.1,13.7,14,G,curryst01
915,Stephen Curry,10,2018-11-08,30-239,GSW,,MIL,L 111-134,*,26,5,14,0.357,5,10,0.5,0,4,0.0,0,0,,0.357,0,1,1,6,0,0,2,4,10,3.1,-12.5,-24,G,curryst01
916,Stephen Curry,10,2018-12-12,30-273,GSW,,TOR,L 93-113,*,33,3,12,0.25,1,4,0.25,2,8,0.25,2,2,1.0,0.388,1,2,3,3,1,0,4,1,10,2.8,-10.9,-16,G,curryst01
917,Stephen Curry,9,2009-11-08,21-239,GSW,@,SAC,L 107-120,*,31,4,8,0.5,3,6,0.5,1,2,0.5,0,2,0.0,0.507,1,3,4,6,0,0,5,4,9,3.4,-9.2,-5,G,curryst01
918,Stephen Curry,9,2010-01-02,21-294,GSW,@,POR,L 89-105,*,29,4,10,0.4,3,8,0.375,1,2,0.5,0,0,,0.45,0,1,1,1,1,0,3,4,9,1.0,-8.6,-6,G,curryst01
919,Stephen Curry,9,2010-01-13,21-305,GSW,,MIA,L 102-115,*,33,3,10,0.3,0,5,0.0,3,5,0.6,0,0,,0.45,1,3,4,4,0,0,4,1,9,3.2,-10.2,-12,G,curryst01
920,Stephen Curry,9,2010-03-03,21-354,GSW,@,ORL,L 90-117,*,32,3,12,0.25,2,10,0.2,1,2,0.5,2,2,1.0,0.349,0,3,3,7,2,0,5,2,9,3.8,-8.9,-25,G,curryst01
921,Stephen Curry,9,2010-03-20,22-006,GSW,@,MEM,L 107-123,*,25,4,10,0.4,3,7,0.429,1,3,0.333,0,0,,0.45,0,4,4,6,0,1,2,2,9,6.9,-4.0,-4,G,curryst01
922,Stephen Curry,9,2010-12-02,22-263,GSW,,PHO,L 101-107,*,34,4,10,0.4,3,7,0.429,1,3,0.333,0,0,,0.45,1,0,1,7,4,0,4,4,9,7.6,-3.4,-6,G,curryst01
923,Stephen Curry,9,2010-12-29,22-290,GSW,@,ATL,L 93-103,*,29,4,13,0.308,4,10,0.4,0,3,0.0,1,1,1.0,0.335,1,4,5,12,0,0,3,2,9,8.0,-3.1,-1,G,curryst01
924,Stephen Curry,9,2011-03-04,22-355,GSW,@,BOS,L 103-107,*,32,4,11,0.364,3,7,0.429,1,4,0.25,0,0,,0.409,2,1,3,5,0,0,4,3,9,2.9,-9.7,-8,G,curryst01
925,Stephen Curry,9,2012-02-13,23-336,GSW,,PHO,W 102-96,*,32,3,10,0.3,2,6,0.333,1,4,0.25,2,2,1.0,0.414,2,5,7,5,1,0,2,2,9,7.8,-2.9,2,G,curryst01
926,Stephen Curry,9,2012-02-22,23-345,GSW,@,PHO,W 106-104,*,10,3,7,0.429,2,4,0.5,1,3,0.333,2,2,1.0,0.571,0,0,0,2,2,0,1,1,9,7.3,17.3,13,G,curryst01
927,Stephen Curry,9,2012-12-12,24-273,GSW,@,MIA,W 97-95,*,42,4,10,0.4,3,7,0.429,1,3,0.333,0,0,,0.45,0,3,3,7,2,0,6,0,9,5.4,-5.9,9,G,curryst01
928,Stephen Curry,9,2013-12-31,25-292,GSW,@,ORL,W 94-81,*,30,4,10,0.4,3,5,0.6,1,5,0.2,0,0,,0.45,0,5,5,8,0,0,6,1,9,4.3,-8.3,21,G,curryst01
929,Stephen Curry,9,2015-03-11,26-362,GSW,,DET,W 105-98,*,34,4,15,0.267,3,8,0.375,1,7,0.143,0,0,,0.3,1,4,5,11,1,0,3,1,9,7.3,-5.3,8,G,curryst01
930,Stephen Curry,9,2017-11-16,29-247,GSW,@,BOS,L 88-92,*,31,3,14,0.214,1,5,0.2,2,9,0.222,1,2,0.5,0.302,2,4,6,5,4,0,4,5,9,4.1,-3.4,-14,G,curryst01
931,Stephen Curry,9,2019-10-30,31-230,GSW,,PHO,L 110-121,*,21,3,11,0.273,2,4,0.5,1,7,0.143,2,2,1.0,0.379,0,5,5,6,1,2,4,2,9,5.8,-3.3,-13,G,curryst01
932,Stephen Curry,9,2022-01-03,33-295,GSW,,MIA,W 115-108,*,32,3,17,0.176,2,7,0.286,1,10,0.1,2,2,1.0,0.252,0,3,3,10,0,1,2,3,9,3.7,-12.4,0,G,curryst01
933,Stephen Curry,9,2024-01-07,35-299,GSW,,TOR,L 118-133,*,30,2,14,0.143,2,5,0.4,0,9,0.0,5,5,1.0,0.278,0,1,1,6,0,0,2,3,9,1.3,-18.3,-17,G,curryst01
934,Stephen Curry,9,2024-02-07,35-330,GSW,@,PHI,W 127-104,*,25,2,7,0.286,1,3,0.333,1,4,0.25,4,4,1.0,0.514,0,3,3,1,0,1,4,2,9,2.4,-13.6,13,G,curryst01
935,Stephen Curry,8,2009-11-09,21-240,GSW,,MIN,W 146-105,*,30,2,8,0.25,1,6,0.167,1,2,0.5,3,4,0.75,0.41,0,2,2,5,1,0,2,1,8,5.5,-12.0,28,G,curryst01
936,Stephen Curry,8,2009-12-16,21-277,GSW,,SAS,L 91-103,*,25,4,11,0.364,4,9,0.444,0,2,0.0,0,0,,0.364,1,3,4,3,4,0,1,5,8,6.6,0.9,-12,G,curryst01
937,Stephen Curry,8,2011-01-09,22-301,GSW,@,LAC,L 91-105,*,26,2,13,0.154,2,7,0.286,0,6,0.0,4,5,0.8,0.263,0,5,5,4,1,0,2,4,8,1.0,-12.2,-13,G,curryst01
938,Stephen Curry,8,2011-03-21,23-007,GSW,@,SAS,L 96-111,*,20,3,8,0.375,2,6,0.333,1,2,0.5,1,1,1.0,0.474,0,0,0,2,0,0,1,4,8,2.4,-7.8,-12,G,curryst01
939,Stephen Curry,8,2012-02-15,23-338,GSW,,POR,L 91-93,*,38,3,10,0.3,3,8,0.375,0,2,0.0,2,2,1.0,0.368,1,2,3,8,2,2,2,2,8,9.7,-1.0,7,G,curryst01
940,Stephen Curry,8,2013-03-15,25-001,GSW,,CHI,L 95-113,*,30,2,13,0.154,2,8,0.25,0,5,0.0,4,4,1.0,0.271,0,0,0,4,0,0,1,2,8,0.7,-16.2,-32,G,curryst01
941,Stephen Curry,8,2014-11-21,26-252,GSW,,UTA,W 101-88,*,25,3,9,0.333,1,3,0.333,2,6,0.333,0,0,,0.444,0,5,5,10,2,0,4,2,8,8.6,2.5,23,G,curryst01
942,Stephen Curry,8,2016-12-15,28-276,GSW,,NYK,W 103-90,*,34,3,14,0.214,1,6,0.167,2,8,0.25,0,0,,0.286,1,9,10,8,1,0,3,0,8,6.4,-6.6,20,G,curryst01
943,Stephen Curry,8,2022-03-12,33-363,GSW,,MIL,W 122-109,*,33,3,7,0.429,1,3,0.333,2,4,0.5,0,0,,0.571,1,4,5,8,1,1,4,1,8,9.1,-1.3,14,G,curryst01
944,Stephen Curry,7,2009-11-04,21-235,GSW,,MEM,W 113-105,*,28,3,6,0.5,2,4,0.5,1,2,0.5,0,0,,0.583,0,5,5,9,2,0,1,4,7,11.2,5.0,-4,G,curryst01
945,Stephen Curry,7,2009-11-30,21-261,GSW,,IND,W 126-107,*,20,2,5,0.4,1,3,0.333,1,2,0.5,2,2,1.0,0.595,0,2,2,4,3,0,2,2,7,7.9,4.1,-7,G,curryst01
946,Stephen Curry,7,2010-11-13,22-244,GSW,@,MIL,L 72-79,*,30,3,14,0.214,3,11,0.273,0,3,0.0,1,2,0.5,0.235,1,1,2,4,3,1,2,5,7,1.5,-4.5,-12,G,curryst01
947,Stephen Curry,7,2011-02-25,22-348,GSW,,ATL,L 79-95,*,30,2,7,0.286,2,5,0.4,0,2,0.0,3,3,1.0,0.421,1,1,2,5,0,0,3,1,7,4.0,-10.1,-27,G,curryst01
948,Stephen Curry,7,2013-02-05,24-328,GSW,@,HOU,L 109-140,*,28,3,12,0.25,2,7,0.286,1,5,0.2,0,0,,0.292,0,4,4,9,0,1,2,2,7,5.2,-7.2,-27,G,curryst01
949,Stephen Curry,7,2019-04-04,31-021,GSW,@,LAL,W 108-90,*,29,3,14,0.214,2,5,0.4,1,9,0.111,0,0,,0.25,1,9,10,7,1,0,2,1,7,5.3,-6.7,32,G,curryst01
950,Stephen Curry,7,2023-12-17,35-278,GSW,@,POR,W 118-114,*,31,2,12,0.167,2,4,0.5,0,8,0.0,3,4,0.75,0.254,0,2,2,8,1,1,4,1,7,2.5,-13.3,14,G,curryst01
951,Stephen Curry,6,2009-11-11,21-242,GSW,@,IND,L 94-108,,21,3,7,0.429,3,5,0.6,0,2,0.0,0,0,,0.429,0,1,1,4,1,0,3,2,6,2.6,-8.0,-13,G,curryst01
952,Stephen Curry,6,2009-12-11,21-272,GSW,@,CHI,L 91-96 (OT),*,27,3,9,0.333,3,6,0.5,0,3,0.0,0,0,,0.333,0,3,3,1,1,0,0,0,6,3.5,-5.8,-8,G,curryst01
953,Stephen Curry,6,2010-02-03,21-326,GSW,@,DAL,L 101-110,*,27,1,6,0.167,1,4,0.25,0,2,0.0,4,4,1.0,0.387,0,0,0,3,0,0,3,2,6,0.5,-13.1,-8,G,curryst01
954,Stephen Curry,6,2011-03-30,23-016,GSW,@,MEM,L 91-110,*,31,2,14,0.143,1,8,0.125,1,6,0.167,1,1,1.0,0.208,4,2,6,9,1,0,6,4,6,0.1,-14.7,-21,G,curryst01
955,Stephen Curry,6,2012-11-23,24-254,GSW,@,DEN,L 91-102,*,26,2,5,0.4,0,3,0.0,2,2,1.0,0,0,,0.6,0,1,1,3,0,0,4,4,6,0.1,-12.3,-18,G,curryst01
956,Stephen Curry,5,2009-11-06,21-237,GSW,,LAC,L 90-118,*,22,1,5,0.2,1,4,0.25,0,1,0.0,3,4,0.75,0.37,0,1,1,3,0,0,0,6,5,1.5,-9.5,-13,G,curryst01
957,Stephen Curry,5,2012-10-31,24-231,GSW,@,PHO,W 87-85,*,30,2,14,0.143,2,8,0.25,0,6,0.0,1,3,0.333,0.163,3,4,7,3,2,0,4,3,5,-2.6,-12.6,-2,G,curryst01
958,Stephen Curry,5,2013-11-06,25-237,GSW,@,MIN,W 106-93,*,24,2,8,0.25,2,5,0.4,0,3,0.0,1,2,0.5,0.282,0,1,1,7,1,0,1,1,5,4.6,-4.0,3,G,curryst01
959,Stephen Curry,5,2014-02-26,25-349,GSW,@,CHI,L 83-103,*,28,2,10,0.2,1,5,0.2,1,5,0.2,0,0,,0.25,0,3,3,5,0,0,5,0,5,-1.8,-13.4,-12,G,curryst01
960,Stephen Curry,5,2016-01-02,27-294,GSW,,DEN,W 111-108 (OT),*,14,2,6,0.333,1,1,1.0,1,5,0.2,0,0,,0.417,0,1,1,4,2,0,2,1,5,4.3,0.2,12,G,curryst01
961,Stephen Curry,5,2019-04-09,31-026,GSW,@,NOP,W 112-103,*,9,2,4,0.5,1,2,0.5,1,2,0.5,0,0,,0.625,0,1,1,1,0,0,2,0,5,2.0,-9.1,1,G,curryst01
962,Stephen Curry,4,2010-12-25,22-286,GSW,,POR,W 109-102,*,29,2,15,0.133,2,10,0.2,0,5,0.0,0,0,,0.133,1,3,4,11,0,0,2,2,4,0.8,-16.5,7,G,curryst01
963,Stephen Curry,4,2011-02-16,22-339,GSW,@,UTA,W 107-100,*,22,1,7,0.143,1,4,0.25,0,3,0.0,2,2,1.0,0.254,0,0,0,4,2,0,1,5,4,1.3,-9.0,-6,G,curryst01
964,Stephen Curry,4,2011-12-25,23-286,GSW,,LAC,L 86-105,*,33,2,12,0.167,2,8,0.25,0,4,0.0,0,1,0.0,0.161,2,3,5,4,2,2,5,4,4,-2.1,-11.2,-5,G,curryst01
965,Stephen Curry,4,2024-03-03,35-355,GSW,@,BOS,L 88-140,*,17,2,13,0.154,2,4,0.5,0,9,0.0,0,0,,0.154,0,1,1,3,0,0,2,0,4,-3.9,-21.8,-29,G,curryst01
966,Stephen Curry,3,2012-01-31,23-323,GSW,,SAC,W 93-90,*,26,1,7,0.143,1,4,0.25,0,3,0.0,1,2,0.5,0.19,0,3,3,8,1,1,0,1,3,5.9,-2.2,3,G,curryst01
